ID_ALOJAMIENTO,TITULO_ALOJAMIENTO,TIPO_ALOJAMIENTO,ESPACIO_ALOJAMIENTO,UBICACION,PRECIO_USD,MAX_HUESPEDES,CANTIDAD_HABITACIONES,CANTIDAD_CAMAS,CANTIDAD_BAÑOS,ES_SUPER_ANFITRION,CANTIDAD_EVALUACIONES,CALIFICACION_GENERAL,CALIFICACION_LIMPIEZA,CALIFICACION_VERACIDAD,CALIFICACION_LLEGADA,CALIFICACION_COMUNICACION,CALIFICACION_UBICACION,CALIFICACION_CALIDAD_PRECIO,FLAG_RESERV_INMEDIATA,FLAG_LLEGADA_AUTONOMA,FLAG_CANCELAC_GRATUITA,FLAG_ACEPT_MASCOTAS
32661476,"Presidencial de 2 dormitorios, para 8 personas: todo incluido",Apartotel,Alojamiento entero,Puerto Plata,160,8,3,5,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
53202757,Apartamento Confort a 50 metros de playa.,Apartamento,Habitación,Santo Domingo,46,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,1
47809170,Villa vacacional de 6 dormitorios en casa Linda,Apartotel,Alojamiento entero,Puerto Plata,424,12,6,6,6,1,40,4.9,4.9,4.9,4.9,5,4.9,4.9,1,0,0,0
31595465,Villas de lujo de 5 dormitorios en 5* Todo Incluido VIP Resort.,Apartamento,Alojamiento entero,Puerto Plata,211,10,5,5,No encontrado,1,3,5,5,5,5,5,5,5,1,1,0,0
1.06605E+18,Juan Dolio Bay Liven,Apartotel,Alojamiento entero,Juan Dolio,100,4,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,1
8.48703E+17,"""Condominio acogedor de nueva construcción en Sosúa. Ubicación perfecta",Apartamento,Alojamiento entero,Puerto Plata,95,4,2,2,2,1,27,4.89,4.9,5,4.8,5,4.9,4.9,1,1,1,0
5.636E+17,Espacio privado en la playa con piscina,Casa,Alojamiento entero,Puerto Plata,75,4,1,2,1,0,15,4.87,4.9,4.9,4.9,5,4.9,4.9,0,1,0,0
7.60463E+17,"Villa de playa Blanca con 2 piscinas, jacuzzi y chef",Casa,Alojamiento entero,Punta Cana,1119,16,8,8,9,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
1.12678E+18,Disfruta de unas relajantes vacaciones en un centro vacacional con todo incluido,Apartotel,Alojamiento entero,Puerto Plata,250,14,7,No encontrado,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
53299844,Departamento extra grande y limpio con piscina,Apartamento,Alojamiento entero,Samaná,79,4,2,3,1,0,7,4.29,4,4.4,4,4.6,4.1,4.4,1,1,1,1
48396721,Sky Presidential,Apartamento,Habitación,Puerto Plata,358,7,3,4,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
8.53673E+17,vacaciones y comodidad,Apartotel,Alojamiento entero,Santo Domingo,79,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,1
9.59636E+17,Apartamento acogedor cerca de la playa,Apartotel,Alojamiento entero,Santo Domingo,77,4,2,2,1,1,8,4.63,4.8,4.6,4.9,4.9,4.1,4.5,1,1,1,0
9.91562E+17,Hm Tropical Villa-Luxury,Alojamiento,Alojamiento entero,Santo Domingo,75,6,2,1,2,1,37,4.97,5,5,4.8,5,4.8,4.9,1,1,0,0
7.91876E+17,Bungalows El Kaoba,Apartotel,Habitación,Puerto Plata,55,3,28,54,1,0,24,4.58,4.7,4.5,4.6,4.7,4.9,4.6,1,0,1,1
54163719,Precioso loft en la azotea junto al mar. Reina7,Apartotel,Alojamiento entero,Puerto Plata,125,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
9.89056E+17,214 Apartamento en Punta Cana,Cabaña,Alojamiento entero,Punta Cana,35,2,1,No encontrado,1,0,6,4.67,5,5,4.8,5,4.8,4.8,0,0,1,0
48626266,4 dormitorios en Crown & Royal Villas,Cabaña,Habitación,Puerto Plata,425,8,4,4,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
7.41253E+17,"Suite Sunrise, complejo VIP con todo incluido y 1 dormitorio",Apartamento,Habitación,Puerto Plata,150,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
8.5732E+17,Hermosa villa de 2 dormitorios y 2 baños con piscina privada.,Casa,Alojamiento entero,Puerto Plata,208,4,2,2,2,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
1.11923E+18,THE ROYAL Suites - 2Bed- PuertoP,Apartamento,Habitación,Puerto Plata,125,6,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
1.12979E+18,Villa de 5 estrellas en Casa De Campo,Apartamento,Alojamiento entero,La Romana,2500,12,5,No encontrado,6,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
7.19752E+17,jm cuesthouse rooms,Apartamento,Habitación,Santo Domingo,26,2,1,1,1,0,32,4.81,4.9,4.6,4.8,4.8,4.9,4.8,0,1,1,0
46084208,Condominio frente a la playa con balcón privado,Casa,Alojamiento entero,Juan Dolio,160,4,2,3,2,1,19,4.89,4.8,5,4.9,5,5,4.9,0,1,0,0
2279229,3Br CONTI 601• Traslado a la playa • Piscina privada •Relajante,Apartamento,Alojamiento entero,Puerto Plata,240,6,3,3,3,0,102,4.75,4.8,4.8,4.8,4.8,4.9,4.8,1,0,0,0
51176658,Hermoso Departamento Cerca De La Playa,Apartotel,Alojamiento entero,Puerto Plata,68,7,1,4,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
49616981,Apartamento Boca Chica Cerca del Bech,Apartamento,Habitación,Santo Domingo,62,3,1,1,1,1,103,4.83,4.8,4.8,4.8,4.9,4.8,4.8,1,1,1,0
45992167,Paseo Colonial: el favorito de Leo,Apartamento,Alojamiento entero,Santo Domingo,119,2,No encontrado,1,1,0,58,4.5,4.8,4.7,4.8,4.5,4.9,4.5,1,0,0,1
8.18714E+17,Villa Heaven de lujo * vistas impresionantes *,Apartamento,Alojamiento entero,La Romana,5600,10,5,8,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
9.6818E+17,"Surfbreak Penthouse en Encuentro Beach, Cabarete",Casa,Habitación,Puerto Plata,69,No encontrado,No encontrado,2,No encontrado,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
49383577,Apto. Condominio Las Olas (0810),Apartotel,Alojamiento entero,Juan Dolio,200,6,2,4,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
6.98036E+17,Acogedor apartamento de 1 dormitorio a minutos de la playa,Apartotel,Alojamiento entero,Bayahibe,91,4,1,2,1,0,37,5,5,5,5,5,4.9,5,1,0,1,0
6.33909E+17,Suites Presidential por Lifestyle Holidays,Casa,Habitación,Puerto Plata,150,4,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
7.99327E+17,"Villa de 3 dormitorios apta para huéspedes, piscina privada, cerca de la playa",Apartotel,Alojamiento entero,Puerto Plata,299,7,3,3,3,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
7.75452E+17,departamento chic con picuzzy y terraza,Apartamento,Alojamiento entero,Santo Domingo,69,6,3,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
1.14329E+18,acogedor,Apartamento,Alojamiento entero,Bayahibe,52,4,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
7.83866E+17,"Complejo central apto para huéspedes, 8 dormitorios",Apartamento,Alojamiento entero,Puerto Plata,650,16,8,8,6,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
3499290,Villa de golf de lujo dominicana de 6 dormitorios con piscina,Apartotel,Alojamiento entero,Juan Dolio,549,16,6,8,No encontrado,1,41,4.71,4.4,4.8,5,4.9,4.5,4.7,0,0,0,0
9.39767E+17,Villa Extravaganza * estancia de lujo *,Casa,Alojamiento entero,Punta Cana,8000,10,5,5,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
26977569,Las Palmeras RIKI R. App.to   B-103 (RIKI),Apartamento,Alojamiento entero,Santo Domingo,49,3,1,No encontrado,1,0,9,4.44,4.7,4.6,4.9,4.8,5,4.8,1,0,1,0
8.37595E+17,"Lujoso apt1 hab,Terraza, Jacuzzi privado y Piscina",Hotel,Alojamiento entero,Santo Domingo,85,2,1,No encontrado,1,1,34,4.97,4.9,5,4.8,5,4.7,4.9,1,0,0,0
48267212,Balcón de Lilian 35,Apartamento,Alojamiento entero,Puerto Plata,200,10,3,5,3,1,20,4.75,4.5,4.8,4.8,4.9,4.8,4.8,0,0,1,0
1.05799E+18,Hospedaje de lujo en Boca Chica,Apartamento,Alojamiento entero,Santo Domingo,80,4,2,3,2,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,0
7.90632E+17,"Villa DE lujo DE 3 dormitorios EN EL campo, piscina/billar/TV EN EL campo",Apartotel,Alojamiento entero,Puerto Plata,790,16,8,8,8,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,1
1.0798E+18,"Apartamento de lujo frente a la playa de 2 habitaciones, registro de entrada las 24 HORAS",Apartamento,Alojamiento entero,Juan Dolio,169,6,2,3,2,0,12,5,4.9,5,4.9,5,5,4.9,1,1,0,0
8.71201E+17,Villa Virtuosa 2 Minutos del Malecon,Apartamento,Alojamiento entero,Puerto Plata,115,6,3,3,2,1,12,4.83,4.9,4.8,4.8,4.9,4.4,4.8,1,0,1,0
31141263,Barranca Occidental,Hostal,Alojamiento entero,La Romana,2000,10,5,8,5,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
31689146,Precioso apartamento en Marbella Juan Dolio,Apartamento,Alojamiento entero,Juan Dolio,145,6,2,4,2,0,No encontrado,No encontrado,4.8,4.9,4.9,4.9,5,5,0,1,1,0
8.94259E+17,Habitación matrimonial y Jacuzzi,Apartotel,Habitación,Guayacanes,75,2,1,No encontrado,1,0,4,5,5,5,4.8,5,5,5,0,1,1,0
6.27647E+17,Estupenda casa grupos grandes en el centro Samaná,Apartamento,Alojamiento entero,Samaná,104,8,3,5,2,0,18,4.11,4,4.2,4.5,4.3,4.6,4.1,0,0,1,0
24160328,"Condominio frente a la playa con piscina privada, patio y acceso al centro vacacional",Apartotel,Alojamiento entero,Puerto Plata,225,6,2,3,2,1,93,4.76,4.8,4.8,4.9,4.9,5,4.8,1,0,0,0
8814606,Increible vista penthouse & jacuzzi,Apartamento,Alojamiento entero,Samaná,550,8,4,8,No encontrado,0,5,4.8,5,4.8,5,5,4.8,4.8,0,1,0,0
51225941,Cozy Studio 7 en la Zona Colonial,Apartotel,Alojamiento entero,Santo Domingo,54,2,1,1,1,0,28,4.57,4.9,4.8,4.8,5,4.8,4.6,1,1,1,0
7.26282E+17,Riviera Azul - Apto. 2 Hab. Vista a la Piscina,Apartotel,Alojamiento entero,Puerto Plata,167,6,3,4,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
8.4486E+17,Le cheateaux House casa de campo,Apartamento,Alojamiento entero,La Romana,500,10,3,5,3,1,12,5,5,5,5,5,4.9,5,0,1,0,0
11488241,New-OceanViewApt.202B (segundo piso),Apartamento,Alojamiento entero,Santo Domingo,95,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,1
8.6654E+17,KiteHouse (estudio),Apartamento,Alojamiento entero,Puerto Plata,45,2,1,1,1,1,5,4.8,4.4,4.4,4.6,4.8,3.8,4.2,1,0,1,1
7.66775E+17,casa tranquila en la colina,Apartamento,Alojamiento entero,Puerto Plata,161,6,3,No encontrado,3,0,4,4.75,5,4.5,4.5,4.5,4.5,4.5,1,0,1,0
53780846,"Bed and Breakfast incluido, lo mejor de samana",Apartamento,Habitación,Samaná,30,No encontrado,No encontrado,1,No encontrado,1,63,4.95,4.9,4.9,5,5,5,4.9,1,1,1,1
9.31392E+17,Apartamento céntrico a 3 minutos de la playa,Apartamento,Alojamiento entero,Juan Dolio,162,8,3,5,3,1,12,5,4.9,5,5,5,4.8,5,0,1,0,0
47567823,Beach Studio Cofresí Palm beach/Playa Tropical,Apartamento,Habitación,Puerto Plata,72,4,No encontrado,4,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
7.83128E+17,Villa totalmente amueblada y equipada con piscina privada,Apartamento,Alojamiento entero,Puerto Plata,249,7,3,3,3,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
1.09787E+18,Blue night Aparta hotel,Apartamento,Habitación,Punta Cana,25,2,1,1,1,0,4,2.75,2.8,3.2,3.5,3.2,2.5,3,0,1,1,1
1.16015E+18,Apartamento Vista Bahia,Apartotel,Alojamiento entero,Samaná,72,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,1
1.134E+18,Amoroso para 2,Apartamento,Alojamiento entero,Samaná,30,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
5.49258E+17,Departamento cómodo de 2 habitaciones,Apartotel,Alojamiento entero,Puerto Plata,80,6,2,4,1,1,No encontrado,No encontrado,4.8,4.8,5,4.9,4.9,4.5,1,1,0,0
1.14733E+18,La Central BEACH,Apartamento,Alojamiento entero,Punta Cana,87,6,3,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,1
6.8698E+17,Lugar fabuloso con alberca,Apartotel,Habitación,Puerto Plata,125,3,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
1.02047E+18,Villa de 4 dormitorios/piscina privada,Apartamento,Alojamiento entero,Puerto Plata,142,8,4,4,4,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
1.06904E+18,Compra en un apartamento de 2 habitaciones.,Casa,Alojamiento entero,Puerto Plata,120,4,No encontrado,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,0
7.9932E+17,Habitación privada en Wing Camp,Apartamento,Habitación,Puerto Plata,42,2,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
1.08567E+18,Caribbean Oasis Suite,Apartotel,Habitación,Puerto Plata,73,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,0
42276646,"Amplia casa de 3 dormitorios, a 20 minutos del aeropuerto con WiFi.",Hostal,Alojamiento entero,Santo Domingo,63,7,3,3,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,1
6.19465E+17,Edificio familiar. No molesta.,Hostal,Alojamiento entero,Santo Domingo,No encontrado,6,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
7.27766E+17,Lifestyle 3 Dormitorio Villa VIP Todo Incluido Resort,Apartamento,Habitación,Puerto Plata,250,6,3,No encontrado,3,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
6.54176E+17,DraWillmore-2 Apart. Completo a 10 min del malecón,Apartamento,Alojamiento entero,Samaná,65,8,2,4,1,0,8,4.75,4.8,5,4.8,4.9,4.8,4.5,1,0,1,1
7.95809E+17,Hotel de  vacaciones de lujo.,Apartamento,Habitación,Puerto Plata,120,4,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
51964150,Kite Beach: a pocos pasos del océano 2BR,Apartamento,Alojamiento entero,Puerto Plata,120,6,2,5,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
6.50744E+17,Villa Meneo H 17,Apartotel,Alojamiento entero,Puerto Plata,353,10,4,4,3,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,1
42299506,Residencial Paraíso Bido/G108,Apartotel,Habitación,Bayahibe,60,2,1,1,1,0,147,4.8,4.7,4.8,4.9,4.9,4.9,4.8,1,0,1,0
8.39366E+17,Hermoso apartamento con vista al mar,Apartamento,Alojamiento entero,Puerto Plata,180,6,3,5,4,1,9,5,4.8,4.9,4.9,4.8,4.8,4.8,1,1,1,0
7.76895E+17,"Estudio apto para huéspedes cerca de la playa de Sosúa, piscina/WiFi",Apartamento,Alojamiento entero,Puerto Plata,95,3,1,1,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
8.01358E+17,Sofisticada villa en proyecto turístico - Pe,Apartamento,Alojamiento entero,Puerto Plata,217,6,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
1.04423E+18,Acogedor apto. de playa,Apartotel,Alojamiento entero,Juan Dolio,75,6,2,No encontrado,2,1,10,4.7,4.6,4.8,4.8,4.9,4.8,4.7,0,1,1,1
1.09084E+18,Apartamentos Liahona,Apartamento,Alojamiento entero,La Romana,32,2,1,1,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,0
34185970,Huerto Vista al Mar,Apartamento,Alojamiento entero,La Romana,26,3,1,1,1,1,111,4.82,4.9,4.8,4.8,4.8,4.8,4.9,1,1,1,1
9.66736E+17,Ático en la azotea * Playa privada VIP *,Apartamento,Alojamiento entero,Punta Cana,129,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
51500406,Las Caobas,Apartamento,Alojamiento entero,Puerto Plata,55,2,1,1,1,0,6,4.67,4.2,5,4.8,5,5,5,1,1,0,0
36024862,"Hermoso apartamento frente a la playa en el noveno piso en Marbella, JD.",Apartamento,Alojamiento entero,Santo Domingo,126,6,2,5,2,0,91,4.56,4.4,4.7,4.3,4.7,4.9,4.5,1,1,1,1
44080630,Apto A2 Estudio con Jacuzzi Privado,Apartamento,Alojamiento entero,Santo Domingo,35,2,1,No encontrado,1,0,No encontrado,No encontrado,4.7,4.6,4.7,4.7,4.3,4.5,1,1,0,0
7.6986E+17,El secreto mejor guardado de Boca Chica,Apartotel,Alojamiento entero,Santo Domingo,75,3,2,4,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,0
1.04212E+18,Wifi en la piscina| Paraíso en la playa |Cafetería,Apartamento,Alojamiento entero,Bayahibe,112,4,2,3,2,0,8,4.88,5,5,5,5,4.8,5,0,1,0,0
48700164,Loft 201 - con balcón - Desayuno - Ciudad colonial,Apartotel,Alojamiento entero,Santo Domingo,99,2,1,1,1,1,112,4.99,5,5,5,5,4.9,4.9,0,1,0,0
1.04289E+18,Nuevo ático de 1 cama: terraza privada con vistas al mar,Apartamento,Alojamiento entero,Puerto Plata,47,2,1,No encontrado,1,1,19,4.95,4.9,4.8,4.9,5,4.9,4.8,1,1,0,1
8.23986E+17,Penthouse único de dos niveles en la zona histórica,Casa,Alojamiento entero,Santo Domingo,280,5,2,2,2,1,33,5,5,5,4.9,5,5,5,0,1,0,1
51173852,Vista de la piscina de Eskapaz su nuevo apartamento residencial de lujo,Apartamento,Alojamiento entero,Puerto Plata,85,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,1
1.00091E+18,Apartamento lindo y cómodo.,Apartotel,Alojamiento entero,Puerto Plata,32,2,1,1,1,0,9,4.78,4.7,4.9,5,4.9,4.8,4.8,1,0,0,1
5.88278E+17,Villa soleada con piscina en Metro CountryClub Juan Dolio,Apartamento,Alojamiento entero,Juan Dolio,237,11,3,6,4,0,54,4.69,4.6,4.8,4.7,4.7,4.8,4.7,1,1,0,0
1.10531E+18,Suit Presidencial Boca chica,Apartamento,Alojamiento entero,Santo Domingo,215,6,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,1
41690368,"¡Gran jacuzzi, 2 dormitorios/baño, aire acondicionado en todas las habitaciones!",Apartotel,Alojamiento entero,Puerto Plata,189,6,2,2,2,1,123,4.93,4.8,5,5,5,4.9,4.9,1,1,0,0
1.12551E+18,Aparta hotel porto escondido,Apartamento,Habitación,Samaná,41,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
14353658,"Las Olas, Juan Dolio",Apartamento,Alojamiento entero,Juan Dolio,160,6,2,3,2,0,20,4.85,4.6,5,5,5,5,4.8,0,0,1,0
8253135,Amplio Penthouse de playa con jacuzzi y terraza,Apartotel,Alojamiento entero,Santo Domingo,No encontrado,8,3,5,No encontrado,1,225,4.92,4.9,4.9,5,5,4.8,4.9,0,0,0,0
6.781E+17,Apartamento en playa de Boca Chica con piscina,Apartamento,Alojamiento entero,Santo Domingo,65,3,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,1
1.04954E+18,Cabaña estilo Eco-Chic @Casadecampo,Apartotel,Alojamiento entero,La Romana,1495,12,6,9,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
1.08244E+18,Condominio de playa ático de 1 dormitorio 3242,Apartamento,Alojamiento entero,Puerto Plata,85,4,1,No encontrado,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,0
48027028,complejo de viviendas por 8 adultos y 2 ninos,Alojamiento,Alojamiento entero,Puerto Plata,240,8,4,No encontrado,4,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
1.14003E+18,AIRE Y MAR Habitación #2,Apartotel,Habitación,Samaná,41,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
52954217,Casa de Giulia - con terraza panorámica,Hostal,Alojamiento entero,Bayahibe,69,4,1,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,0
7.56022E+17,Moderno apartamento con estacionamiento Privado,Hotel,Alojamiento entero,Santo Domingo,33,2,1,1,1,0,93,4.44,4.5,4.4,4.5,4.6,4.5,4.4,1,1,1,0
7.83843E+17,Complejo de 10 dormitorios apto para huéspedes a pasos de la playa/bares,Apartamento,Alojamiento entero,Puerto Plata,829,16,10,10,7,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
1.13203E+18,Villa Montreal,Apartotel,Alojamiento entero,Puerto Plata,480,14,5,8,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
45484052,Residencial Paraiso Bayahibe Sail-Away Bungalow,Hostal,Habitación,Bayahibe,110,4,2,3,1,0,73,4.66,4.6,4.7,4.9,4.8,4.9,4.7,1,0,0,0
8.12957E+17,Habitación  dentro de  apartamento,Apartamento,Habitación,Santo Domingo,35,2,1,No encontrado,1,0,18,4.5,4.6,4.4,4.5,4.8,4.3,4.6,1,1,1,1
23254748,Apartamento Confortable en la playa,Apartamento,Alojamiento entero,Juan Dolio,315,8,3,6,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
1.10574E+18,Rubi 's Loft,Apartamento,Alojamiento entero,Juan Dolio,112,5,2,5,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
52488372,CASA MIA,Apartamento,Alojamiento entero,Puerto Plata,40,2,1,1,1,0,No encontrado,No encontrado,4.5,4.6,4.5,4.8,4.8,4.6,1,0,1,1
7.69365E+17,¡Villa todo incluido en el centro vacacional!,Casa,Alojamiento entero,Puerto Plata,3575,10,5,5,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
7.39373E+17,Apartamento privado - Boca Chica,Apartotel,Alojamiento entero,Santo Domingo,40,4,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
8.00043E+17,Apartamento tranquilo 1BD con piscina cerca de todo en Sosua,Apartamento,Alojamiento entero,Puerto Plata,110,3,1,1,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
7.65061E+17,"Villa Flamboyan Green One, Playa Dorada",Apartotel,Alojamiento entero,Puerto Plata,320,8,3,3,2,0,8,5,5,5,5,5,4.8,5,1,1,1,0
7.50753E+17,"Cómodo& tranquiloApto 2Bdr 102ETepuy, en JuanDolio",Apartotel,Alojamiento entero,Juan Dolio,68,4,2,No encontrado,2,0,19,4.89,4.7,4.8,5,4.9,4.8,4.9,0,1,1,1
6.35344E+17,#303 Encantadora unidad cerca de la Zona Colonial y Malecón,Apartamento,Alojamiento entero,Santo Domingo,31,2,1,1,1,0,76,4.49,4.6,4.6,4.8,4.8,4.5,4.5,1,1,1,0
53640512,Hermoso apartamento con servicios de piscina,Apartamento,Alojamiento entero,Santo Domingo,80,3,2,3,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
9.14739E+17,Suite Lifestyle Beach Resort Jr.,Apartotel,Habitación,Puerto Plata,68,2,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,0
